Index Finger,Ring Pinky Finger,Gesture
137,0,flex_index
198,0,flex_index
49,0,flex_index
23,15,flex_index
72,13,flex_index
23,6,flex_index
12,0,flex_index
20,0,flex_index
42,0,flex_index
13,0,flex_index
21,0,flex_index
3,0,flex_index
44,0,flex_index
42,0,flex_index
14,0,flex_index
47,0,flex_index
41,0,flex_index
97,0,flex_index
8,0,flex_index
0,0,flex_index
53,0,flex_index
96,0,flex_index
26,0,flex_index
215,0,flex_index
28,0,flex_index
52,0,flex_index
36,0,flex_index
64,0,flex_index
35,0,flex_index
4,0,flex_index
61,0,flex_index
49,0,flex_index
23,0,flex_index
32,0,flex_index
16,0,flex_index
1,0,flex_index
101,0,flex_index
8,0,flex_index
39,0,flex_index
22,0,flex_index
18,0,flex_index
17,0,flex_index
31,0,flex_index
49,0,flex_index
8,0,flex_index
75,0,flex_index
71,0,flex_index
29,0,flex_index
63,0,flex_index
86,0,flex_index
8,0,flex_index
17,0,flex_index
8,0,flex_index
42,0,flex_index
20,0,flex_index
86,0,flex_index
29,0,flex_index
34,0,flex_index
19,0,flex_index
4,0,flex_index
37,0,flex_index
17,0,flex_index
53,0,flex_index
32,0,flex_index
65,0,flex_index
11,0,flex_index
49,0,flex_index
8,0,flex_index
13,0,flex_index
22,0,flex_index
43,0,flex_index
49,0,flex_index
17,0,flex_index
44,0,flex_index
72,0,flex_index
77,0,flex_index
7,0,flex_index
11,0,flex_index
19,0,flex_index
36,0,flex_index
18,0,flex_index
9,0,flex_index
3,0,flex_index
2,0,flex_index
20,0,flex_index
29,0,flex_index
59,0,flex_index
33,0,flex_index
54,0,flex_index
8,0,flex_index
71,0,flex_index
52,0,flex_index
86,0,flex_index
48,0,flex_index
34,0,flex_index
30,0,flex_index
16,0,flex_index
0,11,flex_index
39,0,flex_index
4,0,flex_index
30,0,flex_index
30,0,flex_index
86,0,flex_index
81,0,flex_index
60,0,flex_index
84,0,flex_index
125,0,flex_index
79,0,flex_index
86,0,flex_index
19,0,flex_index
17,0,flex_index
20,0,flex_index
18,0,flex_index
7,0,flex_index
55,0,flex_index
95,0,flex_index
52,0,flex_index
32,0,flex_index
23,0,flex_index
162,0,flex_index
35,0,flex_index
119,0,flex_index
31,0,flex_index
5,0,flex_index
