Index Finger,Ring Pinky Finger,Gesture
439,0,flex_MidAndIdx
385,0,flex_MidAndIdx
601,36,flex_MidAndIdx
705,20,flex_MidAndIdx
503,50,flex_MidAndIdx
529,58,flex_MidAndIdx
597,32,flex_MidAndIdx
730,30,flex_MidAndIdx
552,39,flex_MidAndIdx
396,21,flex_MidAndIdx
566,44,flex_MidAndIdx
407,15,flex_MidAndIdx
547,23,flex_MidAndIdx
512,0,flex_MidAndIdx
525,14,flex_MidAndIdx
495,24,flex_MidAndIdx
520,44,flex_MidAndIdx
475,11,flex_MidAndIdx
324,19,flex_MidAndIdx
510,18,flex_MidAndIdx
406,31,flex_MidAndIdx
293,58,flex_MidAndIdx
270,0,flex_MidAndIdx
362,42,flex_MidAndIdx
853,4,flex_MidAndIdx
414,3,flex_MidAndIdx
227,0,flex_MidAndIdx
224,9,flex_MidAndIdx
391,6,flex_MidAndIdx
314,0,flex_MidAndIdx
511,0,flex_MidAndIdx
312,8,flex_MidAndIdx
256,0,flex_MidAndIdx
407,0,flex_MidAndIdx
329,0,flex_MidAndIdx
545,4,flex_MidAndIdx
541,0,flex_MidAndIdx
443,27,flex_MidAndIdx
214,0,flex_MidAndIdx
295,0,flex_MidAndIdx
314,0,flex_MidAndIdx
215,0,flex_MidAndIdx
414,0,flex_MidAndIdx
755,62,flex_MidAndIdx
349,30,flex_MidAndIdx
279,0,flex_MidAndIdx
625,0,flex_MidAndIdx
628,0,flex_MidAndIdx
564,0,flex_MidAndIdx
577,0,flex_MidAndIdx
654,0,flex_MidAndIdx
500,0,flex_MidAndIdx
395,0,flex_MidAndIdx
675,0,flex_MidAndIdx
487,0,flex_MidAndIdx
448,0,flex_MidAndIdx
453,0,flex_MidAndIdx
347,0,flex_MidAndIdx
351,0,flex_MidAndIdx
584,0,flex_MidAndIdx
404,0,flex_MidAndIdx
403,0,flex_MidAndIdx
462,0,flex_MidAndIdx
190,0,flex_MidAndIdx
169,0,flex_MidAndIdx
214,0,flex_MidAndIdx
210,0,flex_MidAndIdx
255,0,flex_MidAndIdx
183,0,flex_MidAndIdx
228,0,flex_MidAndIdx
268,0,flex_MidAndIdx
342,0,flex_MidAndIdx
372,0,flex_MidAndIdx
372,0,flex_MidAndIdx
502,0,flex_MidAndIdx
272,0,flex_MidAndIdx
426,0,flex_MidAndIdx
454,0,flex_MidAndIdx
598,0,flex_MidAndIdx
579,0,flex_MidAndIdx
461,0,flex_MidAndIdx
293,0,flex_MidAndIdx
538,0,flex_MidAndIdx
525,0,flex_MidAndIdx
586,0,flex_MidAndIdx
513,0,flex_MidAndIdx
268,0,flex_MidAndIdx
464,0,flex_MidAndIdx
395,0,flex_MidAndIdx
325,0,flex_MidAndIdx
356,0,flex_MidAndIdx
344,3,flex_MidAndIdx
461,0,flex_MidAndIdx
481,0,flex_MidAndIdx
360,0,flex_MidAndIdx
410,0,flex_MidAndIdx
437,0,flex_MidAndIdx
384,0,flex_MidAndIdx
619,0,flex_MidAndIdx
522,0,flex_MidAndIdx
481,0,flex_MidAndIdx
339,0,flex_MidAndIdx
401,0,flex_MidAndIdx
395,0,flex_MidAndIdx
460,6,flex_MidAndIdx
385,0,flex_MidAndIdx
546,3,flex_MidAndIdx
346,0,flex_MidAndIdx
323,0,flex_MidAndIdx
376,0,flex_MidAndIdx
253,0,flex_MidAndIdx
279,0,flex_MidAndIdx
305,0,flex_MidAndIdx
502,5,flex_MidAndIdx
367,0,flex_MidAndIdx
380,0,flex_MidAndIdx
265,0,flex_MidAndIdx
5,0,flex_MidAndIdx
255,0,flex_MidAndIdx
161,0,flex_MidAndIdx
291,0,flex_MidAndIdx
300,0,flex_MidAndIdx
386,0,flex_MidAndIdx
495,2,flex_MidAndIdx
229,0,flex_MidAndIdx
276,0,flex_MidAndIdx
166,0,flex_MidAndIdx
388,9,flex_MidAndIdx
588,75,flex_MidAndIdx
631,46,flex_MidAndIdx
533,4,flex_MidAndIdx
576,0,flex_MidAndIdx
669,17,flex_MidAndIdx
668,31,flex_MidAndIdx
262,0,flex_MidAndIdx
372,0,flex_MidAndIdx
