Index Finger,Ring Pinky Finger,Gesture
591,0,flex_middle
702,1,flex_middle
630,0,flex_middle
309,0,flex_middle
297,0,flex_middle
529,0,flex_middle
232,0,flex_middle
73,0,flex_middle
384,0,flex_middle
205,0,flex_middle
97,0,flex_middle
342,0,flex_middle
230,0,flex_middle
217,0,flex_middle
321,0,flex_middle
225,0,flex_middle
122,0,flex_middle
56,0,flex_middle
151,0,flex_middle
18,0,flex_middle
364,0,flex_middle
378,0,flex_middle
316,0,flex_middle
308,0,flex_middle
152,0,flex_middle
94,0,flex_middle
82,0,flex_middle
381,0,flex_middle
339,0,flex_middle
137,0,flex_middle
384,54,flex_middle
316,22,flex_middle
425,0,flex_middle
265,0,flex_middle
137,0,flex_middle
287,0,flex_middle
240,0,flex_middle
50,0,flex_middle
362,0,flex_middle
520,0,flex_middle
352,0,flex_middle
267,0,flex_middle
423,0,flex_middle
282,8,flex_middle
703,0,flex_middle
457,0,flex_middle
681,0,flex_middle
652,0,flex_middle
402,0,flex_middle
243,0,flex_middle
406,0,flex_middle
189,0,flex_middle
335,0,flex_middle
388,0,flex_middle
199,0,flex_middle
444,0,flex_middle
292,0,flex_middle
193,0,flex_middle
340,0,flex_middle
420,0,flex_middle
443,0,flex_middle
232,0,flex_middle
140,0,flex_middle
246,0,flex_middle
193,0,flex_middle
144,0,flex_middle
235,0,flex_middle
405,0,flex_middle
398,0,flex_middle
337,0,flex_middle
219,0,flex_middle
227,0,flex_middle
237,0,flex_middle
304,0,flex_middle
344,0,flex_middle
349,0,flex_middle
288,0,flex_middle
178,0,flex_middle
278,0,flex_middle
290,0,flex_middle
257,0,flex_middle
224,0,flex_middle
251,0,flex_middle
185,0,flex_middle
267,0,flex_middle
146,0,flex_middle
155,0,flex_middle
255,0,flex_middle
212,0,flex_middle
508,0,flex_middle
273,0,flex_middle
83,0,flex_middle
267,0,flex_middle
282,0,flex_middle
424,0,flex_middle
186,0,flex_middle
146,0,flex_middle
270,0,flex_middle
354,0,flex_middle
123,0,flex_middle
53,0,flex_middle
135,0,flex_middle
248,0,flex_middle
202,0,flex_middle
132,0,flex_middle
362,0,flex_middle
195,0,flex_middle
353,0,flex_middle
176,0,flex_middle
201,0,flex_middle
191,0,flex_middle
307,0,flex_middle
283,0,flex_middle
163,0,flex_middle
141,0,flex_middle
125,0,flex_middle
119,0,flex_middle
285,0,flex_middle
293,0,flex_middle
348,0,flex_middle
196,0,flex_middle
156,0,flex_middle
164,0,flex_middle
159,0,flex_middle
