Index Finger,Ring Pinky Finger,Gesture
103,680,flex_ring_pinky
91,629,flex_ring_pinky
101,578,flex_ring_pinky
28,652,flex_ring_pinky
69,586,flex_ring_pinky
53,711,flex_ring_pinky
41,546,flex_ring_pinky
11,531,flex_ring_pinky
42,548,flex_ring_pinky
31,203,flex_ring_pinky
0,274,flex_ring_pinky
2,124,flex_ring_pinky
17,189,flex_ring_pinky
0,266,flex_ring_pinky
52,314,flex_ring_pinky
58,232,flex_ring_pinky
34,244,flex_ring_pinky
91,328,flex_ring_pinky
33,502,flex_ring_pinky
25,209,flex_ring_pinky
0,167,flex_ring_pinky
7,129,flex_ring_pinky
22,164,flex_ring_pinky
0,150,flex_ring_pinky
29,300,flex_ring_pinky
66,466,flex_ring_pinky
89,136,flex_ring_pinky
106,322,flex_ring_pinky
6,243,flex_ring_pinky
0,50,flex_ring_pinky
0,146,flex_ring_pinky
50,274,flex_ring_pinky
124,438,flex_ring_pinky
66,409,flex_ring_pinky
4,211,flex_ring_pinky
15,226,flex_ring_pinky
7,481,flex_ring_pinky
36,515,flex_ring_pinky
37,422,flex_ring_pinky
0,543,flex_ring_pinky
78,536,flex_ring_pinky
10,304,flex_ring_pinky
117,447,flex_ring_pinky
46,428,flex_ring_pinky
82,313,flex_ring_pinky
0,397,flex_ring_pinky
0,213,flex_ring_pinky
0,151,flex_ring_pinky
32,396,flex_ring_pinky
69,379,flex_ring_pinky
117,484,flex_ring_pinky
48,235,flex_ring_pinky
17,155,flex_ring_pinky
129,573,flex_ring_pinky
111,369,flex_ring_pinky
0,351,flex_ring_pinky
103,292,flex_ring_pinky
42,300,flex_ring_pinky
100,290,flex_ring_pinky
35,125,flex_ring_pinky
63,219,flex_ring_pinky
114,818,flex_ring_pinky
110,855,flex_ring_pinky
103,626,flex_ring_pinky
123,653,flex_ring_pinky
101,588,flex_ring_pinky
32,497,flex_ring_pinky
66,484,flex_ring_pinky
20,591,flex_ring_pinky
0,506,flex_ring_pinky
77,525,flex_ring_pinky
28,579,flex_ring_pinky
97,503,flex_ring_pinky
76,287,flex_ring_pinky
97,97,flex_ring_pinky
48,224,flex_ring_pinky
85,424,flex_ring_pinky
219,755,flex_ring_pinky
58,701,flex_ring_pinky
71,692,flex_ring_pinky
112,551,flex_ring_pinky
119,639,flex_ring_pinky
161,820,flex_ring_pinky
68,718,flex_ring_pinky
46,542,flex_ring_pinky
142,710,flex_ring_pinky
169,752,flex_ring_pinky
143,696,flex_ring_pinky
48,587,flex_ring_pinky
108,772,flex_ring_pinky
220,855,flex_ring_pinky
65,511,flex_ring_pinky
148,621,flex_ring_pinky
50,551,flex_ring_pinky
32,274,flex_ring_pinky
57,479,flex_ring_pinky
4,73,flex_ring_pinky
83,532,flex_ring_pinky
75,360,flex_ring_pinky
180,789,flex_ring_pinky
89,289,flex_ring_pinky
0,296,flex_ring_pinky
0,108,flex_ring_pinky
97,732,flex_ring_pinky
34,443,flex_ring_pinky
0,457,flex_ring_pinky
0,449,flex_ring_pinky
52,501,flex_ring_pinky
71,660,flex_ring_pinky
30,713,flex_ring_pinky
0,461,flex_ring_pinky
12,382,flex_ring_pinky
42,328,flex_ring_pinky
135,552,flex_ring_pinky
49,610,flex_ring_pinky
0,435,flex_ring_pinky
40,393,flex_ring_pinky
99,835,flex_ring_pinky
95,521,flex_ring_pinky
104,569,flex_ring_pinky
106,449,flex_ring_pinky
