Index Finger,Ring Pinky Finger,Gesture,
182,585,Flex Ring Pinky,
372,835,Flex Ring Pinky,
253,839,Flex Ring Pinky,
260,840,Flex Ring Pinky,
97,735,Flex Ring Pinky,
171,831,Flex Ring Pinky,
135,681,Flex Ring Pinky,
87,685,Flex Ring Pinky,
195,834,Flex Ring Pinky,
96,726,Flex Ring Pinky,
28,489,Flex Ring Pinky,
204,418,Flex Ring Pinky,
38,448,Flex Ring Pinky,
32,398,Flex Ring Pinky,
89,798,Flex Ring Pinky,
77,399,Flex Ring Pinky,
245,678,Flex Ring Pinky,
74,239,Flex Ring Pinky,
0,1,Flex Ring Pinky,
34,449,Flex Ring Pinky,
63,504,Flex Ring Pinky,
0,24,Flex Ring Pinky,
86,330,Flex Ring Pinky,
88,468,Flex Ring Pinky,
141,840,Flex Ring Pinky,
60,434,Flex Ring Pinky,
43,266,Flex Ring Pinky,
52,330,Flex Ring Pinky,
159,321,Flex Ring Pinky,
123,536,Flex Ring Pinky,
141,507,Flex Ring Pinky,
142,391,Flex Ring Pinky,
92,544,Flex Ring Pinky,
130,380,Flex Ring Pinky,
148,357,Flex Ring Pinky,
128,697,Flex Ring Pinky,
81,238,Flex Ring Pinky,
77,547,Flex Ring Pinky,
60,701,Flex Ring Pinky,
53,291,Flex Ring Pinky,
55,386,Flex Ring Pinky,
33,422,Flex Ring Pinky,
79,840,Flex Ring Pinky,
106,543,Flex Ring Pinky,
181,562,Flex Ring Pinky,
127,382,Flex Ring Pinky,
110,530,Flex Ring Pinky,
117,703,Flex Ring Pinky,
88,641,Flex Ring Pinky,
106,543,Flex Ring Pinky,
358,2,Flex Middle,
295,9,Flex Middle,
177,12,Flex Middle,
404,0,Flex Middle,
351,11,Flex Middle,
208,0,Flex Middle,
219,0,Flex Middle,
120,0,Flex Middle,
140,0,Flex Middle,
474,3,Flex Middle,
353,0,Flex Middle,
217,0,Flex Middle,
169,0,Flex Middle,
184,0,Flex Middle,
119,0,Flex Middle,
115,0,Flex Middle,
164,0,Flex Middle,
94,2,Flex Middle,
197,0,Flex Middle,
164,0,Flex Middle,
164,0,Flex Middle,
127,0,Flex Middle,
235,0,Flex Middle,
151,0,Flex Middle,
147,0,Flex Middle,
168,0,Flex Middle,
163,0,Flex Middle,
129,0,Flex Middle,
201,0,Flex Middle,
157,0,Flex Middle,
116,0,Flex Middle,
142,0,Flex Middle,
153,0,Flex Middle,
96,0,Flex Middle,
183,0,Flex Middle,
317,9,Flex Middle,
245,3,Flex Middle,
194,0,Flex Middle,
135,0,Flex Middle,
133,0,Flex Middle,
178,0,Flex Middle,
108,0,Flex Middle,
122,0,Flex Middle,
259,0,Flex Middle,
275,22,Flex Middle,
120,0,Flex Middle,
219,0,Flex Middle,
252,0,Flex Middle,
297,0,Flex Middle,
252,0,Flex Middle,
72,0,Flex Index,
23,0,Flex Index,
99,0,Flex Index,
97,0,Flex Index,
57,0,Flex Index,
73,0,Flex Index,
18,0,Flex Index,
32,0,Flex Index,
41,0,Flex Index,
4,0,Flex Index,
62,0,Flex Index,
50,0,Flex Index,
44,0,Flex Index,
27,0,Flex Index,
2,0,Flex Index,
50,0,Flex Index,
88,0,Flex Index,
10,0,Flex Index,
40,0,Flex Index,
34,0,Flex Index,
11,0,Flex Index,
34,0,Flex Index,
13,3,Flex Index,
36,0,Flex Index,
11,0,Flex Index,
11,0,Flex Index,
22,0,Flex Index,
25,3,Flex Index,
17,0,Flex Index,
55,0,Flex Index,
29,0,Flex Index,
31,0,Flex Index,
24,0,Flex Index,
29,0,Flex Index,
17,0,Flex Index,
38,0,Flex Index,
41,0,Flex Index,
42,0,Flex Index,
32,0,Flex Index,
74,0,Flex Index,
20,0,Flex Index,
14,0,Flex Index,
60,0,Flex Index,
16,0,Flex Index,
19,0,Flex Index,
16,4,Flex Index,
54,0,Flex Index,
24,0,Flex Index,
25,0,Flex Index,
20,0,Flex Index,
