Index Finger,Ring Pinky Finger,Gesture
177,563,Fist
110,504,Fist
65,542,Fist
175,799,Fist
143,757,Fist
158,723,Fist
96,333,Fist
89,302,Fist
79,452,Fist
116,468,Fist
67,619,Fist
142,575,Fist
56,445,Fist
61,369,Fist
68,276,Fist
80,672,Fist
78,452,Fist
73,464,Fist
851,316,Fist
72,366,Fist
42,368,Fist
137,440,Fist
73,287,Fist
152,403,Fist
112,178,Fist
47,281,Fist
99,524,Fist
849,429,Fist
201,310,Fist
280,312,Fist
356,422,Fist
195,146,Fist
180,282,Fist
147,276,Fist
226,649,Fist
209,403,Fist
216,395,Fist
226,163,Fist
194,298,Fist
181,543,Fist
163,217,Fist
102,245,Fist
204,222,Fist
148,313,Fist
209,266,Fist
137,246,Fist
145,200,Fist
74,205,Fist
242,152,Fist
