Index Finger,Ring Pinky Finger,Gesture
308,400,FistMax
381,373,FistMax
322,443,FistMax
348,311,FistMax
190,245,FistMax
211,289,FistMax
362,252,FistMax
373,134,FistMax
306,257,FistMax
234,342,FistMax
122,338,FistMax
305,277,FistMax
152,177,FistMax
233,395,FistMax
186,349,FistMax
259,211,FistMax
246,155,FistMax
169,328,FistMax
120,254,FistMax
108,222,FistMax
104,294,FistMax
68,415,FistMax
101,236,FistMax
183,332,FistMax
124,158,FistMax
197,256,FistMax
215,129,FistMax
142,267,FistMax
274,317,FistMax
180,252,FistMax
315,325,FistMax
173,341,FistMax
132,166,FistMax
130,187,FistMax
182,189,FistMax
161,272,FistMax
161,272,FistMax
135,241,FistMax
178,198,FistMax
134,131,FistMax
275,300,FistMax
323,306,FistMax
231,173,FistMax
229,100,FistMax
142,107,FistMax
162,116,FistMax
211,278,FistMax
211,278,FistMax
142,107,FistMax
162,116,FistMax
