Index Finger,Ring Pinky Finger,Gesture
72,0,Flex Index
23,0,Flex Index
99,0,Flex Index
97,0,Flex Index
57,0,Flex Index
73,0,Flex Index
18,0,Flex Index
32,0,Flex Index
41,0,Flex Index
4,0,Flex Index
62,0,Flex Index
50,0,Flex Index
44,0,Flex Index
27,0,Flex Index
2,0,Flex Index
50,0,Flex Index
88,0,Flex Index
10,0,Flex Index
40,0,Flex Index
34,0,Flex Index
11,0,Flex Index
34,0,Flex Index
13,3,Flex Index
36,0,Flex Index
11,0,Flex Index
11,0,Flex Index
22,0,Flex Index
25,3,Flex Index
17,0,Flex Index
55,0,Flex Index
29,0,Flex Index
31,0,Flex Index
24,0,Flex Index
29,0,Flex Index
17,0,Flex Index
38,0,Flex Index
41,0,Flex Index
42,0,Flex Index
32,0,Flex Index
74,0,Flex Index
20,0,Flex Index
14,0,Flex Index
60,0,Flex Index
16,0,Flex Index
19,0,Flex Index
16,4,Flex Index
54,0,Flex Index
24,0,Flex Index
25,0,Flex Index
20,0,Flex Index
