Index Finger,Ring Pinky Finger,Gesture
358,2,Flex Middle
295,9,Flex Middle
177,12,Flex Middle
404,0,Flex Middle
351,11,Flex Middle
208,0,Flex Middle
219,0,Flex Middle
120,0,Flex Middle
140,0,Flex Middle
474,3,Flex Middle
353,0,Flex Middle
217,0,Flex Middle
169,0,Flex Middle
184,0,Flex Middle
119,0,Flex Middle
115,0,Flex Middle
164,0,Flex Middle
94,2,Flex Middle
197,0,Flex Middle
164,0,Flex Middle
164,0,Flex Middle
127,0,Flex Middle
235,0,Flex Middle
151,0,Flex Middle
147,0,Flex Middle
168,0,Flex Middle
163,0,Flex Middle
129,0,Flex Middle
201,0,Flex Middle
157,0,Flex Middle
116,0,Flex Middle
142,0,Flex Middle
153,0,Flex Middle
96,0,Flex Middle
183,0,Flex Middle
317,9,Flex Middle
245,3,Flex Middle
194,0,Flex Middle
135,0,Flex Middle
133,0,Flex Middle
178,0,Flex Middle
108,0,Flex Middle
122,0,Flex Middle
259,0,Flex Middle
275,22,Flex Middle
120,0,Flex Middle
219,0,Flex Middle
252,0,Flex Middle
297,0,Flex Middle
252,0,Flex Middle
