Index Finger,Ring Pinky Finger,Gesture
182,585,Flex Ring Pinky
372,835,Flex Ring Pinky
253,839,Flex Ring Pinky
260,840,Flex Ring Pinky
97,735,Flex Ring Pinky
171,831,Flex Ring Pinky
135,681,Flex Ring Pinky
87,685,Flex Ring Pinky
195,834,Flex Ring Pinky
96,726,Flex Ring Pinky
28,489,Flex Ring Pinky
204,418,Flex Ring Pinky
38,448,Flex Ring Pinky
32,398,Flex Ring Pinky
89,798,Flex Ring Pinky
77,399,Flex Ring Pinky
245,678,Flex Ring Pinky
74,239,Flex Ring Pinky
0,250,Flex Ring Pinky
34,449,Flex Ring Pinky
63,504,Flex Ring Pinky
0,240,Flex Ring Pinky
86,330,Flex Ring Pinky
88,468,Flex Ring Pinky
141,840,Flex Ring Pinky
60,434,Flex Ring Pinky
43,266,Flex Ring Pinky
52,330,Flex Ring Pinky
159,321,Flex Ring Pinky
123,536,Flex Ring Pinky
141,507,Flex Ring Pinky
142,391,Flex Ring Pinky
92,544,Flex Ring Pinky
130,380,Flex Ring Pinky
148,357,Flex Ring Pinky
128,697,Flex Ring Pinky
81,238,Flex Ring Pinky
77,547,Flex Ring Pinky
60,701,Flex Ring Pinky
53,291,Flex Ring Pinky
55,386,Flex Ring Pinky
33,422,Flex Ring Pinky
79,840,Flex Ring Pinky
106,543,Flex Ring Pinky
181,562,Flex Ring Pinky
127,382,Flex Ring Pinky
110,530,Flex Ring Pinky
117,703,Flex Ring Pinky
88,641,Flex Ring Pinky
117,703,Flex Ring Pinky
