Index Finger,Ring Pinky Finger,Gesture
233,680,Flex Ring Pinky
157,630,Flex Ring Pinky
246,613,Flex Ring Pinky
265,462,Flex Ring Pinky
264,537,Flex Ring Pinky
303,618,Flex Ring Pinky
286,476,Flex Ring Pinky
255,582,Flex Ring Pinky
175,594,Flex Ring Pinky
120,600,Flex Ring Pinky
209,529,Flex Ring Pinky
172,686,Flex Ring Pinky
302,520,Flex Ring Pinky
318,812,Flex Ring Pinky
174,562,Flex Ring Pinky
300,490,Flex Ring Pinky
210,566,Flex Ring Pinky
182,783,Flex Ring Pinky
127,693,Flex Ring Pinky
78,469,Flex Ring Pinky
159,855,Flex Ring Pinky
112,709,Flex Ring Pinky
180,611,Flex Ring Pinky
143,855,Flex Ring Pinky
68,600,Flex Ring Pinky
122,644,Flex Ring Pinky
117,801,Flex Ring Pinky
72,673,Flex Ring Pinky
198,750,Flex Ring Pinky
80,622,Flex Ring Pinky
281,855,Flex Ring Pinky
245,855,Flex Ring Pinky
399,644,Flex Ring Pinky
204,747,Flex Ring Pinky
239,619,Flex Ring Pinky
132,551,Flex Ring Pinky
179,756,Flex Ring Pinky
178,461,Flex Ring Pinky
249,707,Flex Ring Pinky
173,543,Flex Ring Pinky
290,554,Flex Ring Pinky
209,602,Flex Ring Pinky
200,608,Flex Ring Pinky
177,555,Flex Ring Pinky
157,613,Flex Ring Pinky
138,540,Flex Ring Pinky
78,469,Flex Ring Pinky
209,602,Flex Ring Pinky
200,608,Flex Ring Pinky
177,555,Flex Ring Pinky
