Index Middle Finger,Ring Pinky Finger,Gesture
18983.2,54630.4,flex fist
24456.6,43943.2,flex fist
26268.2,42070.6,flex fist
23048.4,44685.6,flex fist
31575.2,52009.0,flex fist
17443.8,49041.8,flex fist
19965.8,53625.4,flex fist
18362.4,48385.8,flex fist
25282.4,29354.0,flex fist
16896.2,37371.8,flex fist
17674.0,39708.4,flex fist
17207.0,29584.6,flex fist
15376.0,26997.8,flex fist
19008.8,41302.4,flex fist
21454.6,28998.6,flex fist
18688.6,36158.8,flex fist
22155.4,36591.0,flex fist
18868.4,24549.6,flex fist
17920.6,38774.0,flex fist
18714.4,36424.4,flex fist
17997.4,36142.8,flex fist
17824.6,24949.6,flex fist
22097.8,20510.0,flex fist
15561.8,32446.0,flex fist
16009.6,23954.0,flex fist
15139.2,28243.0,flex fist
14495.8,20683.2,flex fist
14230.2,27059.0,flex fist
18951.4,38338.4,flex fist
16931.4,31328.6,flex fist
16083.6,32045.8,flex fist
16870.6,28685.0,flex fist
25254.0,40931.2,flex fist
15974.4,46283.0,flex fist
14678.4,31354.2,flex fist
14624.0,35637.2,flex fist
16448.4,32318.0,flex fist
15510.6,33844.4,flex fist
17565.4,36872.6,flex fist
14604.6,30775.0,flex fist
14706.8,36693.2,flex fist
13161.2,21656.0,flex fist
15062.4,42377.8,flex fist
16141.0,25308.2,flex fist
14959.8,25801.0,flex fist
16496.4,36507.4,flex fist
22785.8,47960.0,flex fist
13654.0,35806.6,flex fist
14563.2,45767.4,flex fist
17965.4,47835.2,flex fist
14566.2,46071.6,flex fist
13567.6,38200.8,flex fist
19809.2,40678.4,flex fist
16368.2,31885.6,flex fist
11717.4,33431.6,flex fist
12357.8,33854.2,flex fist
18695.4,24254.8,flex fist
13622.2,19396.2,flex fist
13644.6,17415.2,flex fist
15718.6,34910.4,flex fist
15949.2,36494.8,flex fist
13081.4,21483.0,flex fist
14537.6,18906.6,flex fist
17453.4,42534.8,flex fist
17693.6,35243.4,flex fist
13542.2,40870.2,flex fist
18810.4,45124.0,flex fist
19265.0,41369.6,flex fist
17684.0,34801.6,flex fist
19690.6,40975.8,flex fist
19217.0,45725.8,flex fist
24271.2,49858.2,flex fist
20199.4,38249.0,flex fist
20090.8,40438.2,flex fist
22917.0,52633.2,flex fist
15183.8,31031.0,flex fist
15315.2,44272.8,flex fist
23608.4,56010.0,flex fist
23419.8,46497.2,flex fist
14607.8,43216.2,flex fist
15017.6,32673.0,flex fist
17184.6,37231.0,flex fist
16707.4,44564.0,flex fist
18522.4,37832.8,flex fist
17174.8,30157.0,flex fist
13897.4,18871.4,flex fist
17251.8,42166.6,flex fist
17584.6,28716.8,flex fist
14892.6,20029.8,flex fist
14924.8,34788.6,flex fist
20270.0,32890.6,flex fist
16013.0,22212.8,flex fist
17402.2,44586.4,flex fist
13164.6,20372.4,flex fist
13865.4,26508.4,flex fist
14511.8,22968.4,flex fist
15536.0,26239.6,flex fist
13958.2,24591.0,flex fist
17255.0,29440.2,flex fist
13436.6,25973.8,flex fist
15558.4,33012.6,flex fist
12021.6,25941.6,flex fist
16131.4,21963.6,flex fist
10059.6,37550.8,flex fist
11589.4,20251.0,flex fist
10821.2,24095.2,flex fist
14057.4,27343.8,flex fist
21857.4,26140.4,flex fist
12172.0,22497.8,flex fist
14992.2,25439.4,flex fist
13180.4,25445.6,flex fist
14131.0,29667.4,flex fist
11250.2,30755.8,flex fist
14771.0,21774.2,flex fist
14844.6,25903.4,flex fist
11227.8,37317.2,flex fist
16083.2,29606.6,flex fist
12972.2,23643.6,flex fist
16569.8,24956.0,flex fist
12309.6,23983.0,flex fist
14755.0,28966.6,flex fist
13315.0,18468.2,flex fist
14441.6,28134.4,flex fist
15296.0,28934.6,flex fist
16204.8,33214.0,flex fist
28528.0,44045.6,flex fist
21665.6,36763.8,flex fist
24350.8,37000.6,flex fist
21467.2,29174.6,flex fist
15139.2,37659.8,flex fist
15772.6,41385.6,flex fist
13827.0,46116.3,flex fist
11611.8,38617.0,flex fist
12213.8,41933.0,flex fist
10235.6,25535.4,flex fist
19460.2,35806.8,flex fist
19393.2,27951.8,flex fist
17523.8,22856.2,flex fist
16963.6,31754.6,flex fist
14748.8,24888.8,flex fist
14716.6,29904.4,flex fist
12674.6,43959.2,flex fist
21428.8,27536.0,flex fist
14662.2,34222.4,flex fist
12101.6,20004.2,flex fist
16941.4,20078.0,flex fist
22411.4,28861.2,flex fist
26306.6,33239.8,flex fist
13663.4,32506.6,flex fist
11695.0,35598.6,flex fist
12581.8,37266.4,flex fist
13571.0,43799.0,flex fist
13385.4,41542.6,flex fist
14844.6,31399.0,flex fist
16285.2,58858.6,flex fist
19866.8,29795.4,flex fist
14249.4,40611.0,flex fist
11925.4,35694.6,flex fist
15289.8,29616.2,flex fist
12108.0,20043.0,flex fist
16534.6,16208.2,flex fist
15782.4,51967.2,flex fist
14569.4,41539.2,flex fist
16256.4,31207.0,flex fist
17533.6,43597.2,flex fist
12818.6,33835.2,flex fist
13033.0,36568.4,flex fist
13327.6,26697.2,flex fist
10114.0,17927.0,flex fist
12492.2,29815.0,flex fist
14073.4,31796.2,flex fist
12982.0,30736.8,flex fist
12357.8,34456.0,flex fist
12472.8,31850.4,flex fist
13679.4,38092.0,flex fist
11343.0,31664.8,flex fist
17229.0,36613.2,flex fist
12002.4,31825.0,flex fist
19607.4,44039.2,flex fist
