Index Middle Finger,Ring Pinky Finger,Gesture
35044.8,13948.4,flex index middle
30720.6,10837.2,flex index middle
28368.0,11176.4,flex index middle
17920.8,7239.6,flex index middle
20538.8,5290.6,flex index middle
25743.6,12418.6,flex index middle
29824.4,8206.2,flex index middle
25042.4,7428.4,flex index middle
38418.4,7108.2,flex index middle
28371.2,6433.0,flex index middle
29293.0,8952.4,flex index middle
27052.4,7783.6,flex index middle
25464.8,6641.201,flex index middle
23736.4,8968.0,flex index middle
22613.0,7835.0,flex index middle
24114.0,9374.599,flex index middle
20827.0,6794.8,flex index middle
30349.6,8766.4,flex index middle
26156.6,9598.599,flex index middle
33325.8,11746.2,flex index middle
25711.6,8475.2,flex index middle
27081.4,11202.2,flex index middle
28272.0,11577.0,flex index middle
27561.4,13858.8,flex index middle
26706.8,7463.399,flex index middle
20359.6,8036.6,flex index middle
29005.0,8868.8,flex index middle
26223.4,8824.2,flex index middle
23115.6,10418.0,flex index middle
31927.0,13721.4,flex index middle
32449.0,8491.2,flex index middle
20513.2,9038.401,flex index middle
29799.0,12184.6,flex index middle
36197.0,12914.8,flex index middle
39026.4,24850.2,flex index middle
37573.6,13081.0,flex index middle
34750.4,8852.8,flex index middle
28240.0,8898.0,flex index middle
38540.2,14169.2,flex index middle
39228.0,11029.4,flex index middle
25676.2,11768.8,flex index middle
28931.4,8468.6,flex index middle
23134.8,9938.0,flex index middle
28528.0,9935.0,flex index middle
26748.4,8737.8,flex index middle
29818.0,7704.0,flex index middle
31799.0,10274.0,flex index middle
30743.0,8103.8,flex index middle
30195.8,10267.8,flex index middle
36117.0,10446.8,flex index middle
33630.0,8625.6,flex index middle
31002.4,10072.2,flex index middle
32452.2,8203.0,flex index middle
33028.4,19604.2,flex index middle
23618.0,8363.2,flex index middle
27871.6,14073.2,flex index middle
35745.8,11202.2,flex index middle
36600.4,10459.6,flex index middle
34270.2,11323.8,flex index middle
29283.4,8942.8,flex index middle
32868.6,7735.6,flex index middle
27353.2,7025.0,flex index middle
33185.4,8657.8,flex index middle
24709.6,7690.8,flex index middle
24984.8,9176.2,flex index middle
34244.6,10034.2,flex index middle
28601.4,7697.2,flex index middle
29555.6,8853.0,flex index middle
24975.4,6817.0,flex index middle
28700.8,10782.8,flex index middle
21502.2,9743.0,flex index middle
27555.0,8222.0,flex index middle
22264.0,8385.6,flex index middle
23951.0,12549.8,flex index middle
26435.0,7623.6,flex index middle
22603.2,6164.2,flex index middle
24895.2,8679.999,flex index middle
21921.4,8952.201,flex index middle
23953.8,7197.999,flex index middle
24046.8,8215.8,flex index middle
24776.8,7348.2,flex index middle
26406.2,8533.0,flex index middle
22043.4,6714.6,flex index middle
22229.0,7601.2,flex index middle
24914.4,9364.799,flex index middle
23512.6,7671.4,flex index middle
20718.0,6916.2,flex index middle
21326.4,10370.0,flex index middle
26655.6,7166.0,flex index middle
28723.4,11272.8,flex index middle
22190.6,6865.0,flex index middle
20509.8,7230.0,flex index middle
21393.6,7290.6,flex index middle
22405.0,15891.2,flex index middle
33588.4,7630.2,flex index middle
26966.2,6765.8,flex index middle
28797.0,6769.0,flex index middle
24239.0,5665.0,flex index middle
26780.4,5159.4,flex index middle
21204.6,6602.6,flex index middle
21063.8,6356.4,flex index middle
22324.8,6974.0,flex index middle
22901.0,6385.0,flex index middle
20138.8,5079.4,flex index middle
25068.0,6266.6,flex index middle
35457.8,6846.0,flex index middle
24110.8,7412.4,flex index middle
26287.6,8283.2,flex index middle
20823.8,6826.8,flex index middle
21447.8,6279.4,flex index middle
22766.8,6420.2,flex index middle
21579.2,10530.0,flex index middle
19296.8,7518.0,flex index middle
24421.6,7466.6,flex index middle
21822.4,7524.4,flex index middle
23835.6,9605.201,flex index middle
21675.2,6909.8,flex index middle
21518.6,8833.599,flex index middle
21694.2,6599.4,flex index middle
23467.4,6970.6,flex index middle
19610.6,7146.6,flex index middle
18228.0,6100.2,flex index middle
21195.0,5793.0,flex index middle
21384.0,7473.0,flex index middle
20635.2,9400.401,flex index middle
25273.0,7514.6,flex index middle
36113.8,9816.401,flex index middle
25909.8,7210.6,flex index middle
25132.0,7303.4,flex index middle
29571.6,10088.4,flex index middle
21256.0,7799.799,flex index middle
24844.0,9170.0,flex index middle
26556.6,7498.8,flex index middle
23618.2,8180.8,flex index middle
25804.2,7719.6,flex index middle
22219.4,6573.8,flex index middle
23419.6,6570.6,flex index middle
23346.0,8007.6,flex index middle
28694.4,7857.2,flex index middle
20827.0,6263.4,flex index middle
19428.4,9060.8,flex index middle
24754.2,7959.8,flex index middle
27276.6,9163.199,flex index middle
25471.4,7341.8,flex index middle
26995.0,7274.601,flex index middle
21502.6,7239.4,flex index middle
26758.0,7681.2,flex index middle
20968.0,9425.799,flex index middle
23358.6,8440.001,flex index middle
24316.0,8526.401,flex index middle
19741.8,8343.8,flex index middle
22427.2,7998.0,flex index middle
24363.8,8484.8,flex index middle
26931.0,7745.201,flex index middle
26319.8,6807.4,flex index middle
21121.6,6266.6,flex index middle
27964.6,8836.8,flex index middle
20110.2,7009.399,flex index middle
26623.6,6817.0,flex index middle
20971.0,6017.0,flex index middle
24565.4,7028.2,flex index middle
21784.0,5959.4,flex index middle
28406.6,8750.6,flex index middle
24267.8,7985.4,flex index middle
26674.8,7809.0,flex index middle
20497.2,7623.8,flex index middle
25257.0,7002.8,flex index middle
24050.2,9125.0,flex index middle
25064.8,7569.2,flex index middle
