Index Middle Finger,Ring Pinky Finger,Gesture
24037.4,9070.4,flex index
23615.0,7492.4,flex index
18660.2,7021.8,flex index
21313.6,8619.4,flex index
18900.2,6327.4,flex index
23743.0,7597.8,flex index
23521.8,7338.6,flex index
24156.0,5975.4,flex index
14259.0,5018.6,flex index
19642.6,6580.2,flex index
19962.6,6205.8,flex index
19310.0,6225.0,flex index
20033.4,6999.6,flex index
21531.0,6231.4,flex index
19751.4,7652.4,flex index
19383.4,6471.4,flex index
18388.0,5821.8,flex index
18797.6,6132.2,flex index
21361.4,6609.0,flex index
16313.8,6209.0,flex index
18122.4,6589.799,flex index
22507.6,6989.799,flex index
19306.8,6023.4,flex index
23118.8,6436.2,flex index
19783.4,6618.6,flex index
19837.8,7217.2,flex index
18817.0,6423.4,flex index
20023.6,5821.8,flex index
17059.6,6074.6,flex index
16537.8,6945.0,flex index
16547.6,6445.8,flex index
18957.6,5661.8,flex index
15632.2,6426.6,flex index
15510.6,6023.4,flex index
18397.8,5725.8,flex index
17591.0,5805.799,flex index
15965.2,6465.0,flex index
17011.8,6180.2,flex index
14438.4,5748.2,flex index
14047.8,6385.0,flex index
17978.0,6253.8,flex index
15548.8,5473.0,flex index
22667.6,5841.0,flex index
20302.0,6100.2,flex index
17069.2,5556.2,flex index
14697.6,5274.6,flex index
13750.2,5335.4,flex index
17588.0,5716.2,flex index
18877.8,6308.2,flex index
16906.0,6001.0,flex index
22597.0,5921.0,flex index
16922.2,6532.2,flex index
23742.8,6909.8,flex index
16646.8,5306.6,flex index
21339.2,6036.2,flex index
19511.4,5482.6,flex index
16909.4,6132.2,flex index
19966.0,6266.6,flex index
17716.0,6298.6,flex index
17510.8,5956.2,flex index
19799.8,5946.6,flex index
25605.6,7995.0,flex index
18868.0,7463.399,flex index
18618.6,7194.6,flex index
19245.8,7121.0,flex index
20619.0,6970.6,flex index
22308.8,6871.4,flex index
21345.4,6337.0,flex index
15977.8,6151.4,flex index
18368.8,7188.4,flex index
17334.8,5789.8,flex index
13679.4,5281.0,flex index
15449.8,6237.8,flex index
13609.4,6007.4,flex index
13266.8,5386.6,flex index
13929.4,5588.2,flex index
18849.0,6833.0,flex index
19089.0,8103.8,flex index
13849.4,6865.0,flex index
12665.0,6369.0,flex index
17604.0,6794.6,flex index
12902.2,7511.6,flex index
22600.2,6909.8,flex index
16858.0,6100.2,flex index
13167.4,5383.4,flex index
13439.4,6311.4,flex index
18330.4,7601.4,flex index
18957.8,7636.4,flex index
21742.4,7457.2,flex index
20910.2,6929.0,flex index
19303.2,6420.2,flex index
12040.8,8724.799,flex index
15702.6,6685.8,flex index
18928.8,8788.799,flex index
18807.4,7905.2,flex index
21735.8,7213.799,flex index
22869.0,7649.0,flex index
21931.2,8366.401,flex index
16646.8,7226.6,flex index
17898.4,7069.8,flex index
20817.4,9237.0,flex index
24664.6,8347.0,flex index
20407.8,8043.0,flex index
16554.0,7662.0,flex index
20055.6,6884.201,flex index
15846.6,7706.6,flex index
14953.6,7149.799,flex index
12073.0,5962.6,flex index
17581.2,8337.4,flex index
18817.0,6669.8,flex index
20663.6,7524.601,flex index
18410.2,6583.4,flex index
18151.0,6525.8,flex index
17206.8,9042.0,flex index
16928.6,6884.201,flex index
16694.6,6071.4,flex index
19236.0,7559.6,flex index
17731.8,7322.6,flex index
19774.0,7383.4,flex index
18775.0,7492.2,flex index
15814.4,7441.2,flex index
29523.4,7713.201,flex index
23198.8,6733.8,flex index
37349.4,8308.8,flex index
27827.0,8091.0,flex index
29049.6,6874.6,flex index
16035.4,7377.0,flex index
34631.8,5764.2,flex index
24268.0,6813.799,flex index
18884.4,5604.2,flex index
11278.8,4708.2,flex index
15494.6,5281.0,flex index
26524.4,6077.8,flex index
13196.4,5412.2,flex index
18036.0,5642.6,flex index
28701.0,8564.6,flex index
15151.8,7409.0,flex index
15654.4,5665.0,flex index
11691.6,4093.2,flex index
25324.0,6052.2,flex index
21764.8,6375.4,flex index
37426.4,6628.2,flex index
33422.0,6084.2,flex index
22197.0,5873.0,flex index
27756.6,6970.6,flex index
20401.4,6455.4,flex index
20695.8,6445.8,flex index
24648.8,6753.0,flex index
21659.0,6625.0,flex index
23550.8,7089.0,flex index
21886.2,7297.0,flex index
17773.4,7812.4,flex index
14012.6,7380.2,flex index
20266.6,7581.8,flex index
18586.2,7396.2,flex index
19527.6,7281.0,flex index
19264.8,6135.4,flex index
17149.2,6625.0,flex index
20212.6,6823.4,flex index
14947.2,6346.6,flex index
15484.8,6513.0,flex index
12367.4,6068.2,flex index
10603.6,5604.2,flex index
18455.2,6817.0,flex index
11580.0,5159.4,flex index
19031.2,5524.2,flex index
19002.4,7530.6,flex index
17354.0,6599.4,flex index
16845.2,6321.0,flex index
29363.6,7665.2,flex index
15619.4,6237.8,flex index
11980.2,5370.6,flex index
16445.0,5469.8,flex index
12735.4,5133.8,flex index
16243.4,5143.4,flex index
13545.2,5092.2,flex index
10866.2,4404.2,flex index
13359.6,5754.6,flex index
12693.8,5569.0,flex index
15696.2,5729.0,flex index
15469.0,6193.0,flex index
12581.8,5767.4,flex index
14703.8,6093.8,flex index
11496.8,5329.0,flex index
15340.8,6282.6,flex index
12114.4,6020.2,flex index
