Index Middle Finger,Ring Pinky Finger,Gesture
45341.6,8046.0,flex mid
45582.0,7178.6,flex mid
33726.0,6612.2,flex mid
33031.4,6852.201,flex mid
30179.6,6145.0,flex mid
36171.6,6442.6,flex mid
34254.2,5661.8,flex mid
34804.6,6273.0,flex mid
35838.6,6625.0,flex mid
30541.2,6433.0,flex mid
44400.8,7924.6,flex mid
31095.2,7255.4,flex mid
31095.2,6551.4,flex mid
37883.8,7169.0,flex mid
32151.4,6797.8,flex mid
35681.8,6468.2,flex mid
31517.6,6436.2,flex mid
29561.8,6468.2,flex mid
26028.2,6903.4,flex mid
24277.4,6052.2,flex mid
22481.8,5805.799,flex mid
29168.4,7348.4,flex mid
35701.2,7217.0,flex mid
30547.6,8699.0,flex mid
32833.0,7898.6,flex mid
30358.8,7405.8,flex mid
36302.6,7930.8,flex mid
42349.0,11330.4,flex mid
34839.8,7591.4,flex mid
34030.2,7982.0,flex mid
31066.2,8545.401,flex mid
36716.0,9669.0,flex mid
25906.6,7319.4,flex mid
30109.2,7469.8,flex mid
37864.6,8680.201,flex mid
37855.0,9230.8,flex mid
27375.8,6970.6,flex mid
31440.6,8741.0,flex mid
28605.0,8914.001,flex mid
24552.6,7460.4,flex mid
29046.6,7947.0,flex mid
27408.0,5498.6,flex mid
35044.8,8206.599,flex mid
30019.6,7233.0,flex mid
23720.4,7092.2,flex mid
30829.4,8129.4,flex mid
28649.8,8625.6,flex mid
28825.8,7645.799,flex mid
25103.2,7089.0,flex mid
24373.4,7527.4,flex mid
27187.0,7476.4,flex mid
24991.2,6704.999,flex mid
31661.6,7569.0,flex mid
25221.6,7630.0,flex mid
31540.2,7943.6,flex mid
30208.6,8017.4,flex mid
31847.4,7505.0,flex mid
27772.4,6653.8,flex mid
22757.0,6445.8,flex mid
26809.2,8372.6,flex mid
34209.4,7928.0,flex mid
31629.4,7645.799,flex mid
30067.4,6906.6,flex mid
31127.2,7018.6,flex mid
25394.6,6017.0,flex mid
34023.8,6545.0,flex mid
28191.8,6215.4,flex mid
26674.8,6436.2,flex mid
27135.6,6497.0,flex mid
24891.8,7434.6,flex mid
39478.0,9144.0,flex mid
31885.8,7079.4,flex mid
23096.4,7018.6,flex mid
31271.2,7700.4,flex mid
25845.8,7306.799,flex mid
26572.4,6973.8,flex mid
29360.2,6977.0,flex mid
27059.0,6730.6,flex mid
27593.4,6564.2,flex mid
20490.8,6545.0,flex mid
23707.8,6660.2,flex mid
27023.6,7489.2,flex mid
26646.0,7361.2,flex mid
28189.0,7492.2,flex mid
22318.8,7050.6,flex mid
29987.6,7950.2,flex mid
20593.4,6058.6,flex mid
8657.599,3088.0,flex mid
31357.6,7287.6,flex mid
24216.6,6423.4,flex mid
33034.8,6989.799,flex mid
28454.4,7457.0,flex mid
21861.0,6497.0,flex mid
30903.0,8171.2,flex mid
25560.8,8154.799,flex mid
19863.8,7812.4,flex mid
31860.2,8167.601,flex mid
28854.4,8215.599,flex mid
33691.0,7825.2,flex mid
26959.8,8257.401,flex mid
34052.8,7751.4,flex mid
27888.0,7796.2,flex mid
21908.8,7556.4,flex mid
24546.4,7594.6,flex mid
25103.2,8091.201,flex mid
31950.0,7213.799,flex mid
18733.6,7031.4,flex mid
19277.8,6359.4,flex mid
20548.4,6753.0,flex mid
25676.2,6996.2,flex mid
23941.2,7396.4,flex mid
25573.8,7566.0,flex mid
31911.4,6538.6,flex mid
22555.4,6090.6,flex mid
30698.4,7169.0,flex mid
30301.2,8436.8,flex mid
29485.0,6983.4,flex mid
34507.0,7450.799,flex mid
27007.8,7802.6,flex mid
28342.4,7469.8,flex mid
29792.4,7921.2,flex mid
27865.6,5693.799,flex mid
29869.2,7274.799,flex mid
26258.8,7185.0,flex mid
20135.6,5159.4,flex mid
28016.0,6385.0,flex mid
20411.0,6689.0,flex mid
25224.8,6573.8,flex mid
29894.8,7386.6,flex mid
26021.6,6941.8,flex mid
27436.6,7242.6,flex mid
24588.0,6932.2,flex mid
17306.2,6529.0,flex mid
23336.4,8007.6,flex mid
23096.2,5677.8,flex mid
27795.0,7181.799,flex mid
20260.4,5898.6,flex mid
17408.6,6202.6,flex mid
29264.2,7149.799,flex mid
19815.4,10485.2,flex mid
29523.4,8366.401,flex mid
26274.8,8424.0,flex mid
22037.0,8228.6,flex mid
19921.2,8638.599,flex mid
28425.6,7885.799,flex mid
31252.0,7505.2,flex mid
32887.2,8516.8,flex mid
24127.0,7463.399,flex mid
34555.4,7870.0,flex mid
23403.8,7457.0,flex mid
30487.0,7533.8,flex mid
28976.2,7441.0,flex mid
22270.8,7354.8,flex mid
16717.2,5975.4,flex mid
30186.2,6465.0,flex mid
31936.8,6308.2,flex mid
21858.0,6186.6,flex mid
24437.6,7879.6,flex mid
28803.4,7143.6,flex mid
26850.8,7662.0,flex mid
30007.2,6615.4,flex mid
30989.4,7255.4,flex mid
33575.6,6817.0,flex mid
28726.6,6599.4,flex mid
27676.6,7021.8,flex mid
33422.0,8110.2,flex mid
27129.4,6586.6,flex mid
28614.4,7802.8,flex mid
26799.4,7172.2,flex mid
24754.2,7345.0,flex mid
24757.6,7133.8,flex mid
26540.2,7223.4,flex mid
31815.2,7633.0,flex mid
22862.8,6919.4,flex mid
28515.2,6765.8,flex mid
18090.2,5914.6,flex mid
23835.6,6292.2,flex mid
18205.6,6826.6,flex mid
29392.2,8107.2,flex mid
26489.2,7501.8,flex mid
23989.2,6631.4,flex mid
23614.8,7569.2,flex mid
25769.0,7213.799,flex mid
24888.8,7600.999,flex mid
24651.8,7348.2,flex mid
23077.2,6436.2,flex mid
36527.0,7543.6,flex mid
26342.0,6474.6,flex mid
24891.8,6327.4,flex mid
24271.0,6567.4,flex mid
20513.4,6845.8,flex mid
