Index Middle Finger,Ring Pinky Finger,Gesture
31636.0,60570.8,flex ring pinky
30237.2,61092.4,flex ring pinky
29703.0,61066.8,flex ring pinky
24904.6,61265.4,flex ring pinky
21563.2,61028.39,flex ring pinky
23541.4,61082.8,flex ring pinky
19498.6,61009.2,flex ring pinky
21841.6,61063.6,flex ring pinky
17738.0,61022.0,flex ring pinky
26876.4,60593.2,flex ring pinky
20388.4,60487.6,flex ring pinky
20276.4,60225.2,flex ring pinky
22741.2,59918.0,flex ring pinky
23471.0,60887.6,flex ring pinky
25900.2,60305.2,flex ring pinky
22616.2,60449.2,flex ring pinky
32209.0,60362.8,flex ring pinky
27225.2,59428.4,flex ring pinky
19479.2,59303.6,flex ring pinky
20817.4,60382.0,flex ring pinky
14406.2,60436.4,flex ring pinky
16413.2,59617.2,flex ring pinky
19658.8,60823.6,flex ring pinky
15728.2,58621.6,flex ring pinky
21300.6,59953.0,flex ring pinky
25017.0,58980.0,flex ring pinky
24376.6,60551.6,flex ring pinky
30906.2,60983.6,flex ring pinky
21451.0,60647.6,flex ring pinky
24021.4,61361.4,flex ring pinky
22641.8,61425.4,flex ring pinky
31444.0,61461.0,flex ring pinky
20622.0,61464.4,flex ring pinky
18573.6,61335.6,flex ring pinky
14431.8,60097.2,flex ring pinky
20580.6,60932.8,flex ring pinky
14646.2,58196.4,flex ring pinky
17680.8,61029.2,flex ring pinky
25500.2,59435.2,flex ring pinky
19338.4,61205.2,flex ring pinky
20327.6,60654.4,flex ring pinky
21800.0,61714.2,flex ring pinky
16912.4,57460.0,flex ring pinky
21905.6,61647.0,flex ring pinky
25900.2,61512.6,flex ring pinky
22027.2,61381.2,flex ring pinky
22395.4,61557.4,flex ring pinky
18202.2,61560.4,flex ring pinky
16864.2,59835.2,flex ring pinky
18416.8,61595.8,flex ring pinky
16618.0,61483.6,flex ring pinky
16886.8,61496.4,flex ring pinky
13615.6,59867.2,flex ring pinky
20747.2,53142.0,flex ring pinky
20455.6,61035.6,flex ring pinky
14908.4,58343.8,flex ring pinky
22075.2,60740.8,flex ring pinky
20737.4,40867.0,flex ring pinky
16048.0,57924.2,flex ring pinky
17408.8,61746.2,flex ring pinky
19655.4,61720.6,flex ring pinky
12316.0,53490.8,flex ring pinky
13324.8,55501.2,flex ring pinky
17709.6,61759.0,flex ring pinky
19847.8,61759.0,flex ring pinky
19066.8,61781.4,flex ring pinky
14329.4,59704.0,flex ring pinky
11835.8,54643.4,flex ring pinky
10856.6,56026.4,flex ring pinky
15485.0,61813.4,flex ring pinky
22968.4,61262.6,flex ring pinky
17440.6,49336.2,flex ring pinky
18826.4,59860.8,flex ring pinky
14937.6,53164.4,flex ring pinky
16387.6,61531.6,flex ring pinky
13129.2,58193.2,flex ring pinky
16765.2,56464.4,flex ring pinky
14822.4,52172.4,flex ring pinky
24238.8,60545.6,flex ring pinky
18628.0,51077.6,flex ring pinky
15929.8,55226.0,flex ring pinky
20171.0,47521.4,flex ring pinky
25634.6,58839.4,flex ring pinky
15500.8,53247.8,flex ring pinky
16128.0,48545.8,flex ring pinky
18932.0,51813.8,flex ring pinky
17949.6,43270.8,flex ring pinky
16246.6,46903.8,flex ring pinky
13903.8,59444.6,flex ring pinky
15267.2,44781.4,flex ring pinky
17898.4,58129.0,flex ring pinky
18599.2,48446.4,flex ring pinky
16979.6,52060.0,flex ring pinky
15753.8,49713.8,flex ring pinky
17363.8,51052.2,flex ring pinky
22164.8,49589.2,flex ring pinky
31869.8,40720.0,flex ring pinky
26521.0,49627.6,flex ring pinky
16707.4,48667.4,flex ring pinky
16970.0,53090.8,flex ring pinky
15961.6,52399.2,flex ring pinky
14544.0,47947.2,flex ring pinky
16336.4,52050.6,flex ring pinky
20171.0,53199.8,flex ring pinky
19028.0,53737.4,flex ring pinky
20484.6,50459.8,flex ring pinky
12697.2,47665.6,flex ring pinky
15264.0,50565.2,flex ring pinky
17418.2,49935.0,flex ring pinky
18525.8,51724.2,flex ring pinky
17357.6,50472.6,flex ring pinky
16297.8,48997.0,flex ring pinky
23073.8,47531.2,flex ring pinky
17136.4,44090.0,flex ring pinky
16909.4,45924.2,flex ring pinky
16525.2,47742.6,flex ring pinky
19979.0,47518.4,flex ring pinky
15945.8,51167.2,flex ring pinky
17632.6,47848.0,flex ring pinky
12930.6,47044.4,flex ring pinky
13590.0,43920.6,flex ring pinky
18967.2,56327.0,flex ring pinky
18900.2,60257.6,flex ring pinky
20449.2,57018.2,flex ring pinky
24796.0,55667.4,flex ring pinky
17373.2,52498.8,flex ring pinky
18435.8,50437.4,flex ring pinky
11269.6,52489.2,flex ring pinky
14223.8,47845.0,flex ring pinky
21358.4,57303.2,flex ring pinky
15917.0,55494.8,flex ring pinky
18509.6,56003.6,flex ring pinky
14825.6,46836.4,flex ring pinky
21502.4,57722.6,flex ring pinky
16458.2,53727.8,flex ring pinky
22366.4,48094.4,flex ring pinky
16752.6,54310.2,flex ring pinky
19492.0,50187.6,flex ring pinky
20106.8,48757.0,flex ring pinky
17786.0,44368.8,flex ring pinky
15689.8,53897.4,flex ring pinky
12383.2,43792.6,flex ring pinky
18906.6,51711.4,flex ring pinky
14159.8,43027.8,flex ring pinky
16967.0,50360.4,flex ring pinky
17130.2,49218.0,flex ring pinky
13814.2,49003.6,flex ring pinky
19521.2,46676.4,flex ring pinky
17978.2,48129.8,flex ring pinky
18602.2,41974.4,flex ring pinky
16887.0,44714.4,flex ring pinky
17008.4,52585.2,flex ring pinky
14630.2,59131.0,flex ring pinky
14284.6,53020.4,flex ring pinky
15120.0,48532.8,flex ring pinky
